"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Andrelton Simmons","Braves","30.5 %","67.5 %","48.5 %","83.2 %","92.8 %","89.7 %","48.7 %","65.5 %","5.0 %","7.4 %","6.0 %","351","10847"
"Robinson Cano","Mariners","33.1 %","72.4 %","50.6 %","67.6 %","91.0 %","82.5 %","44.5 %","61.0 %","8.8 %","17.3 %","4.6 %","369","3269"
"Michael A. Taylor","Nationals","32.6 %","72.8 %","51.5 %","51.6 %","77.6 %","68.9 %","47.1 %","66.1 %","15.7 %","31.5 %","6.8 %","251","11489"
"Gregory Polanco","Pirates","27.9 %","62.3 %","42.0 %","70.6 %","88.5 %","81.5 %","41.1 %","55.1 %","7.7 %","18.8 %","10.1 %","336","12907"
"Austin Jackson","Mariners","24.1 %","62.3 %","42.6 %","65.7 %","88.5 %","81.8 %","48.4 %","61.5 %","7.7 %","21.5 %","5.6 %","270","9848"
"Nicholas Castellanos","Tigers","37.6 %","71.9 %","52.6 %","53.6 %","85.2 %","72.6 %","43.9 %","66.2 %","14.4 %","23.8 %","5.8 %","328","11737"
"Cody Asche","Phillies","28.8 %","68.3 %","47.0 %","55.6 %","88.7 %","77.7 %","46.0 %","66.7 %","10.5 %","23.4 %","4.8 %","252","11997"
"Jean Segura","Brewers","36.9 %","68.6 %","51.8 %","74.1 %","92.5 %","85.5 %","46.9 %","60.9 %","7.4 %","14.1 %","3.0 %","304","5933"
"Melky Cabrera","White Sox","32.7 %","62.0 %","45.7 %","80.3 %","93.7 %","88.3 %","44.3 %","61.4 %","5.3 %","11.8 %","5.8 %","363","4022"
"Marcell Ozuna","Marlins","32.7 %","63.5 %","46.1 %","54.0 %","87.2 %","73.9 %","43.5 %","62.1 %","12.0 %","23.0 %","6.5 %","322","10324"
"J.T. Realmuto","Marlins","35.8 %","68.6 %","51.5 %","78.2 %","91.1 %","86.4 %","47.7 %","62.9 %","7.0 %","14.8 %","3.9 %","256","11739"
"Angel Pagan","Giants","22.7 %","61.2 %","40.4 %","87.5 %","92.8 %","91.2 %","46.0 %","54.1 %","3.6 %","14.6 %","5.0 %","342","2918"
"Elvis Andrus","Rangers","24.9 %","58.9 %","41.5 %","73.8 %","92.5 %","86.8 %","48.9 %","62.7 %","5.5 %","13.8 %","8.0 %","362","8709"
"Didi Gregorius","Yankees","36.4 %","73.3 %","51.9 %","69.8 %","85.6 %","79.2 %","41.9 %","62.4 %","10.8 %","15.4 %","5.7 %","298","6012"
"Stephen Drew","Yankees","22.6 %","59.8 %","39.7 %","68.7 %","94.0 %","86.2 %","45.9 %","58.3 %","5.5 %","16.2 %","9.4 %","278","4251"
"Juan Lagares","Mets","36.7 %","66.9 %","50.9 %","68.8 %","89.3 %","81.4 %","46.9 %","64.7 %","9.4 %","18.1 %","3.0 %","331","5384"
"Asdrubal Cabrera","Rays","35.9 %","72.4 %","51.4 %","68.6 %","83.7 %","77.7 %","42.6 %","64.9 %","11.4 %","22.2 %","6.2 %","325","4962"
"Matt Joyce","Angels","25.1 %","72.5 %","46.2 %","54.8 %","84.7 %","75.7 %","44.5 %","59.9 %","11.2 %","22.2 %","10.5 %","257","3353"
"Jimmy Rollins","Dodgers","27.2 %","66.8 %","45.1 %","70.4 %","89.6 %","83.3 %","45.2 %","54.0 %","7.5 %","14.7 %","6.8 %","339","971"
"Jordy Mercer","Pirates","31.4 %","60.2 %","45.2 %","73.3 %","88.7 %","83.1 %","47.7 %","61.5 %","7.5 %","15.5 %","5.5 %","291","6547"
"Starlin Castro","Cubs","35.7 %","64.7 %","48.5 %","70.1 %","88.5 %","80.9 %","44.3 %","56.8 %","9.2 %","16.1 %","4.2 %","361","4579"
"Kurt Suzuki","Twins","29.1 %","62.8 %","45.7 %","75.7 %","96.4 %","89.7 %","49.2 %","56.1 %","4.6 %","11.4 %","6.3 %","271","8259"
"Will Middlebrooks","Padres","30.4 %","64.6 %","46.6 %","56.5 %","83.4 %","74.2 %","47.4 %","62.6 %","12.0 %","21.5 %","3.8 %","265","7002"
"Eric Sogard","Athletics","21.7 %","56.9 %","38.7 %","74.3 %","96.0 %","89.7 %","48.2 %","60.9 %","4.0 %","12.9 %","5.2 %","271","7927"
"Ian Desmond","Nationals","37.2 %","70.0 %","51.7 %","58.2 %","87.7 %","75.9 %","44.3 %","71.6 %","12.5 %","28.4 %","4.9 %","348","6885"
"Leonys Martin","Rangers","31.4 %","63.6 %","46.0 %","55.8 %","85.6 %","74.5 %","45.3 %","69.9 %","11.7 %","21.0 %","4.9 %","286","11846"
"Michael Bourn","Indians","19.1 %","64.1 %","39.2 %","50.0 %","84.6 %","75.3 %","44.8 %","62.5 %","9.7 %","23.5 %","9.2 %","272","6387"
"Billy Hamilton","Reds","27.2 %","62.2 %","43.7 %","73.7 %","90.3 %","84.8 %","47.2 %","66.8 %","6.6 %","15.2 %","6.0 %","316","10199"
"Chris Owings","Diamondbacks","39.2 %","71.7 %","55.0 %","55.8 %","87.8 %","76.1 %","48.6 %","68.1 %","13.1 %","26.8 %","3.7 %","298","10030"
"Omar Infante","Royals","36.6 %","59.4 %","47.5 %","62.6 %","91.3 %","79.7 %","47.6 %","64.8 %","9.6 %","15.9 %","1.7 %","301","1609"
"Alexei Ramirez","White Sox","33.0 %","70.9 %","50.3 %","73.8 %","88.7 %","83.4 %","45.6 %","67.0 %","8.4 %","11.5 %","3.3 %","330","5133"
"Mike Zunino","Mariners","29.3 %","69.4 %","47.8 %","48.6 %","74.5 %","65.9 %","46.0 %","67.2 %","16.3 %","36.1 %","6.1 %","277","13265"
