"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Dustin Pedroia","Red Sox","23.4 %","61.8 %","41.9 %","82.7 %","93.5 %","90.4 %","48.2 %","55.5 %","4.0 %","9.4 %","11.0 %","319","8370"
"Wil Myers","Padres","30.3 %","62.6 %","44.0 %","62.6 %","80.0 %","73.1 %","42.4 %","59.2 %","11.9 %","30.0 %","9.9 %","363","10047"
"Ryon Healy","Athletics","36.4 %","63.5 %","48.5 %","59.9 %","86.6 %","75.5 %","44.7 %","61.6 %","11.9 %","26.7 %","3.8 %","344","15447"
"Mitch Moreland","Red Sox","31.3 %","72.2 %","47.6 %","57.5 %","84.4 %","73.8 %","39.8 %","52.7 %","12.5 %","22.3 %","11.3 %","336","3086"
"Max Kepler","Twins","28.5 %","60.2 %","42.4 %","61.3 %","90.3 %","79.3 %","43.8 %","55.2 %","8.8 %","18.7 %","8.9 %","326","12144"
"Curtis Granderson","Mets","23.0 %","58.4 %","39.5 %","68.3 %","89.2 %","82.7 %","46.6 %","55.7 %","6.9 %","22.3 %","12.5 %","305","4747"
"Lorenzo Cain","Royals","29.5 %","71.9 %","49.4 %","61.3 %","90.1 %","80.9 %","46.7 %","61.1 %","9.4 %","17.5 %","9.6 %","355","9077"
"Josh Bell","Pirates","27.1 %","64.0 %","42.9 %","67.9 %","84.4 %","78.4 %","42.7 %","54.0 %","9.3 %","19.2 %","10.6 %","339","13145"
"Todd Frazier","White Sox","26.4 %","61.5 %","41.5 %","67.7 %","84.0 %","78.1 %","43.0 %","55.9 %","9.1 %","20.8 %","14.6 %","322","785"
"Andrelton Simmons","Angels","27.5 %","65.4 %","45.7 %","79.6 %","90.4 %","87.0 %","47.9 %","64.5 %","5.9 %","10.6 %","7.3 %","369","10847"
"Denard Span","Giants","26.5 %","62.2 %","44.3 %","74.8 %","96.8 %","90.2 %","49.9 %","56.0 %","4.3 %","12.6 %","6.1 %","277","8347"
"Yasmani Grandal","Dodgers","33.4 %","68.6 %","48.2 %","60.9 %","85.2 %","75.4 %","42.2 %","58.9 %","11.9 %","25.7 %","7.1 %","280","11368"
"Eddie Rosario","Twins","37.1 %","77.0 %","55.0 %","73.7 %","80.2 %","77.7 %","44.8 %","61.4 %","12.2 %","19.0 %","5.4 %","295","12155"
"Joe Mauer","Twins","19.7 %","52.5 %","35.1 %","76.6 %","93.8 %","88.7 %","47.0 %","54.9 %","4.0 %","14.6 %","10.1 %","308","1857"
"Willson Contreras","Cubs","33.6 %","66.7 %","48.1 %","59.6 %","75.9 %","69.5 %","43.8 %","60.1 %","14.7 %","25.9 %","8.3 %","278","11609"
"Yangervis Solarte","Padres","34.2 %","70.1 %","49.9 %","73.9 %","92.3 %","85.2 %","43.6 %","64.0 %","7.4 %","11.4 %","9.7 %","289","5352"
"Matt Davidson","White Sox","35.9 %","65.5 %","49.4 %","44.8 %","78.1 %","64.8 %","45.4 %","63.0 %","17.4 %","41.2 %","5.1 %","257","7226"
"Christian Yelich","Marlins","24.0 %","64.3 %","41.9 %","62.0 %","89.3 %","80.6 %","44.5 %","50.5 %","8.1 %","18.2 %","10.2 %","374","11477"
"DJ LeMahieu","Rockies","24.1 %","60.2 %","41.6 %","82.5 %","93.5 %","90.2 %","48.5 %","59.0 %","4.1 %","12.9 %","7.5 %","373","9874"
"Chris Davis","Orioles","33.6 %","56.9 %","44.0 %","47.3 %","80.1 %","66.1 %","44.4 %","66.4 %","14.9 %","38.0 %","12.0 %","250","9272"
"Nomar Mazara","Rangers","32.1 %","63.4 %","45.0 %","62.5 %","86.4 %","76.4 %","41.2 %","52.1 %","10.6 %","19.8 %","9.0 %","334","14553"
"Tommy Joseph","Phillies","32.8 %","69.0 %","48.2 %","56.6 %","85.2 %","74.0 %","42.5 %","58.2 %","12.5 %","23.5 %","7.7 %","323","10349"
"Didi Gregorius","Yankees","41.8 %","83.2 %","58.9 %","65.8 %","86.0 %","77.6 %","41.3 %","57.9 %","13.2 %","14.7 %","3.8 %","266","6012"
"Nick Markakis","Braves","25.4 %","62.2 %","41.9 %","77.6 %","89.7 %","85.7 %","44.9 %","55.1 %","6.0 %","18.4 %","9.8 %","376","5930"
"Jorge Bonifacio","Royals","32.2 %","79.7 %","54.0 %","50.9 %","81.0 %","71.3 %","45.8 %","63.6 %","15.5 %","26.4 %","9.3 %","258","12174"
"Yunel Escobar","Angels","26.3 %","70.6 %","46.6 %","61.8 %","92.7 %","83.2 %","45.7 %","54.1 %","7.8 %","12.5 %","7.6 %","303","4191"
"Jose Bautista","Blue Jays","23.0 %","58.8 %","38.1 %","57.5 %","82.1 %","73.5 %","42.2 %","52.8 %","10.1 %","23.4 %","13.9 %","381","1887"
"David Freese","Pirates","25.8 %","62.1 %","42.5 %","67.6 %","86.9 %","80.6 %","46.1 %","59.5 %","8.3 %","19.5 %","14.5 %","262","9549"
"Yasiel Puig","Dodgers","32.8 %","71.1 %","48.5 %","57.3 %","85.1 %","74.0 %","41.0 %","61.1 %","12.6 %","19.1 %","10.2 %","324","14225"
