"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Freddie Freeman","Braves","35.2 %","82.4 %","53.0 %","70.7 %","85.4 %","79.4 %","37.8 %","55.6 %","10.9 %","18.2 %","14.3 %","286","5361"
"Starlin Castro","Marlins","35.4 %","70.6 %","50.2 %","68.3 %","91.7 %","82.1 %","42.1 %","58.4 %","9.0 %","15.4 %","4.3 %","305","4579"
"Trea Turner","Nationals","32.4 %","70.1 %","47.2 %","63.9 %","90.3 %","79.3 %","39.4 %","62.8 %","9.8 %","16.8 %","7.7 %","339","16252"
"J.T. Realmuto","Phillies","34.5 %","76.1 %","51.1 %","66.5 %","87.0 %","78.7 %","39.8 %","55.7 %","10.9 %","18.0 %","6.7 %","255","11739"
"Ozzie Albies","Braves","36.3 %","83.8 %","55.6 %","66.7 %","86.2 %","78.6 %","40.6 %","65.6 %","11.9 %","16.6 %","7.3 %","314","16556"
"Aristides Aquino","Reds","41.2 %","83.0 %","55.7 %","54.8 %","76.0 %","65.7 %","34.7 %","62.2 %","19.1 %","26.7 %","7.1 %","225","15482"
"Eloy Jimenez","White Sox","38.7 %","73.4 %","52.5 %","55.9 %","81.1 %","69.9 %","39.6 %","68.0 %","15.8 %","24.5 %","4.3 %","253","17484"
"Kyle Seager","Mariners","27.7 %","67.2 %","43.8 %","72.3 %","87.8 %","82.0 %","40.8 %","60.7 %","7.9 %","18.2 %","9.6 %","280","9785"
"Adam Eaton","Nationals","28.4 %","63.7 %","43.4 %","72.0 %","91.0 %","83.9 %","42.7 %","56.6 %","7.0 %","16.7 %","8.5 %","281","11205"
"Tommy Edman","Cardinals","32.8 %","68.0 %","47.8 %","73.2 %","88.2 %","82.3 %","42.7 %","61.9 %","8.5 %","17.3 %","5.1 %","294","19470"
"Brett Gardner","Yankees","25.8 %","57.9 %","39.2 %","62.2 %","88.4 %","78.3 %","41.7 %","52.9 %","8.5 %","25.6 %","8.4 %","227","9927"
"Carlos Santana","Indians","22.2 %","66.1 %","40.3 %","66.7 %","87.6 %","80.8 %","41.2 %","54.6 %","7.7 %","16.9 %","14.3 %","308","2396"
"Charlie Blackmon","Rockies","31.1 %","69.4 %","47.3 %","65.8 %","90.7 %","81.3 %","42.4 %","61.4 %","8.8 %","15.4 %","6.8 %","293","7859"
"Michael Brantley","Astros","29.9 %","61.9 %","44.1 %","80.5 %","94.8 %","89.4 %","44.4 %","57.9 %","4.7 %","11.1 %","8.1 %","271","4106"
"Jonathan Villar","Orioles","32.7 %","76.3 %","50.0 %","62.2 %","80.5 %","73.3 %","39.8 %","62.7 %","13.4 %","26.0 %","8.4 %","335","10071"
"Danny Santana","Rangers","43.0 %","74.3 %","55.9 %","57.1 %","80.1 %","69.7 %","41.2 %","64.6 %","16.9 %","31.2 %","5.6 %","285","10322"
"Peter Alonso","Mets","36.1 %","72.6 %","49.4 %","59.2 %","82.5 %","71.6 %","36.4 %","61.2 %","14.0 %","28.7 %","11.0 %","317","19251"
"Max Kepler","Twins","30.4 %","75.6 %","48.7 %","62.2 %","89.4 %","79.2 %","40.4 %","61.5 %","10.1 %","18.2 %","10.8 %","231","12144"
"Kris Bryant","Cubs","32.5 %","75.4 %","49.2 %","52.9 %","82.4 %","70.5 %","39.0 %","56.4 %","14.5 %","27.8 %","10.8 %","259","15429"
"Willie Calhoun","Rangers","33.3 %","68.8 %","48.4 %","76.8 %","89.5 %","84.5 %","42.4 %","58.1 %","7.5 %","14.5 %","7.3 %","248","17838"
"Hunter Dozier","Royals","31.3 %","70.9 %","47.3 %","49.1 %","86.8 %","72.0 %","40.5 %","64.0 %","13.3 %","28.0 %","7.3 %","300","15117"
"Yasmani Grandal","Brewers","20.0 %","53.4 %","32.8 %","64.0 %","86.5 %","78.0 %","38.2 %","52.9 %","7.2 %","23.4 %","20.3 %","291","11368"
"Gleyber Torres","Yankees","35.8 %","75.6 %","51.8 %","59.1 %","84.0 %","73.7 %","40.1 %","61.0 %","13.6 %","20.1 %","5.7 %","264","16997"
"Bryan Reynolds","Pirates","29.7 %","75.3 %","47.6 %","57.6 %","88.5 %","76.8 %","39.3 %","59.7 %","11.1 %","22.7 %","7.5 %","295","19326"
"Jose Abreu","White Sox","36.3 %","64.2 %","47.9 %","61.5 %","89.5 %","77.1 %","41.5 %","60.4 %","11.0 %","20.7 %","5.6 %","323","15676"
"Ryan McMahon","Rockies","29.2 %","75.5 %","49.3 %","53.0 %","81.6 %","72.0 %","43.3 %","64.6 %","13.8 %","31.0 %","10.6 %","274","15112"
"Cavan Biggio","Blue Jays","17.1 %","63.0 %","37.1 %","46.1 %","84.8 %","74.7 %","43.6 %","61.0 %","9.4 %","29.2 %","16.2 %","277","19252"
"Francisco Lindor","Indians","35.2 %","73.2 %","51.0 %","78.5 %","93.0 %","87.1 %","41.4 %","56.9 %","6.6 %","13.6 %","6.2 %","339","12916"
"Christian Walker","Diamondbacks","26.3 %","77.3 %","46.7 %","54.2 %","84.6 %","74.3 %","39.9 %","53.9 %","12.0 %","22.8 %","13.9 %","267","13419"
"Luis Arraez","Twins","27.7 %","62.5 %","42.4 %","91.5 %","95.6 %","94.0 %","42.2 %","55.4 %","2.5 %","7.7 %","9.6 %","271","18568"
"Brian Goodwin","Angels","28.6 %","59.6 %","42.2 %","56.3 %","81.0 %","71.7 %","44.1 %","54.0 %","12.0 %","32.7 %","8.5 %","211","12858"
"Amed Rosario","Mets","39.5 %","72.1 %","52.8 %","66.3 %","92.0 %","80.6 %","41.0 %","64.2 %","10.2 %","15.1 %","4.0 %","299","15518"
"Vladimir Guerrero Jr.","Blue Jays","33.3 %","71.4 %","48.4 %","65.7 %","87.4 %","78.3 %","39.5 %","69.0 %","10.5 %","16.9 %","7.7 %","261","19611"
"Eric Thames","Brewers","33.1 %","72.5 %","48.8 %","48.8 %","80.6 %","67.6 %","39.7 %","65.1 %","15.8 %","28.0 %","8.3 %","218","3711"
"Willy Adames","Rays","28.3 %","70.8 %","46.5 %","62.3 %","88.3 %","79.3 %","43.0 %","60.6 %","9.7 %","23.9 %","8.4 %","251","15986"
"Tommy Pham","Rays","19.8 %","62.9 %","38.2 %","61.6 %","88.8 %","80.7 %","42.6 %","59.9 %","7.4 %","18.1 %","11.6 %","277","2967"
"Austin Nola","Mariners","24.8 %","63.6 %","42.2 %","64.3 %","87.0 %","79.7 %","44.9 %","60.5 %","8.6 %","22.3 %","9.2 %","238","15941"
"Jon Berti","Marlins","24.9 %","64.1 %","42.1 %","59.2 %","83.7 %","75.6 %","43.9 %","60.3 %","10.3 %","26.0 %","7.8 %","219","12037"
"Jorge Polanco","Twins","28.0 %","68.8 %","44.4 %","70.4 %","90.3 %","82.8 %","40.3 %","57.6 %","7.6 %","18.8 %","9.1 %","309","13152"
"Matt Chapman","Athletics","25.5 %","65.8 %","42.2 %","64.7 %","81.3 %","75.5 %","41.4 %","59.4 %","10.4 %","26.0 %","10.7 %","281","16505"
"Wilson Ramos","Mets","39.2 %","76.7 %","55.8 %","72.5 %","90.5 %","83.5 %","44.1 %","65.4 %","9.2 %","10.3 %","6.2 %","243","1433"
"Corey Seager","Dodgers","30.7 %","81.0 %","52.3 %","54.7 %","87.8 %","76.7 %","42.9 %","58.3 %","12.2 %","17.3 %","5.9 %","271","13624"
"Yasiel Puig","- - -","30.3 %","76.1 %","49.2 %","63.1 %","83.4 %","76.1 %","41.3 %","59.6 %","11.8 %","20.9 %","9.2 %","282","14225"
"Hanser Alberto","Orioles","46.6 %","77.6 %","59.1 %","79.7 %","94.7 %","87.7 %","40.4 %","67.9 %","7.3 %","8.3 %","3.4 %","265","11902"
"Victor Reyes","Tigers","40.2 %","66.8 %","51.5 %","74.0 %","87.3 %","81.4 %","42.6 %","58.8 %","9.6 %","22.9 %","4.2 %","262","15487"
"Phillip Ervin","Reds","29.1 %","73.6 %","48.9 %","57.0 %","83.5 %","74.8 %","44.4 %","56.8 %","12.3 %","20.9 %","6.3 %","206","14738"
"Travis d'Arnaud","Rays","36.4 %","70.0 %","50.6 %","64.8 %","82.3 %","75.0 %","42.2 %","61.5 %","12.7 %","20.9 %","8.5 %","234","7739"
"Kole Calhoun","Angels","31.8 %","77.9 %","50.9 %","44.5 %","76.8 %","65.0 %","41.5 %","61.4 %","17.8 %","29.0 %","11.8 %","272","11200"
"Shin-Soo Choo","Rangers","25.2 %","65.9 %","42.9 %","47.3 %","79.3 %","68.7 %","43.6 %","60.0 %","13.4 %","26.6 %","13.1 %","290","3174"
"Joey Votto","Reds","24.4 %","71.9 %","43.8 %","72.6 %","89.0 %","83.6 %","40.7 %","60.2 %","7.2 %","19.3 %","13.3 %","264","4314"
"Franmil Reyes","- - -","34.1 %","75.9 %","50.2 %","44.8 %","76.0 %","63.0 %","38.5 %","63.0 %","18.6 %","30.9 %","10.6 %","246","14566"
"Daniel Murphy","Rockies","34.5 %","71.0 %","49.8 %","75.9 %","96.9 %","88.5 %","42.0 %","61.9 %","5.8 %","16.1 %","5.5 %","236","4316"
"Rougned Odor","Rangers","30.5 %","68.1 %","46.4 %","54.5 %","85.0 %","73.4 %","42.2 %","56.5 %","12.3 %","28.8 %","10.5 %","285","12282"
"Evan Longoria","Giants","31.7 %","67.3 %","45.6 %","65.7 %","80.8 %","74.4 %","38.9 %","63.0 %","11.7 %","24.5 %","7.7 %","208","9368"
"Josh Bell","Pirates","28.9 %","75.7 %","46.5 %","65.1 %","85.1 %","77.3 %","37.6 %","53.3 %","10.5 %","17.3 %","14.2 %","225","13145"
"Lorenzo Cain","Brewers","27.3 %","67.9 %","44.1 %","66.7 %","92.7 %","83.2 %","41.3 %","59.1 %","7.4 %","16.6 %","8.9 %","247","9077"
