"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Niko Goodrum","Tigers","30.1 %","71.4 %","46.9 %","57.6 %","79.9 %","71.4 %","40.7 %","57.6 %","13.4 %","27.3 %","10.3 %","330","12092"
"Kolten Wong","Cardinals","29.5 %","69.0 %","46.2 %","67.5 %","91.0 %","82.4 %","42.4 %","54.9 %","8.1 %","15.0 %","9.4 %","319","12532"
"Amed Rosario","Mets","36.9 %","71.5 %","50.7 %","62.0 %","85.0 %","74.9 %","39.8 %","60.7 %","12.7 %","22.2 %","5.3 %","356","15518"
"Randal Grichuk","Blue Jays","35.0 %","70.6 %","48.6 %","55.7 %","86.5 %","72.8 %","38.2 %","59.6 %","13.2 %","28.5 %","7.1 %","354","10243"
"Stephen Piscotty","Athletics","34.4 %","71.7 %","50.3 %","56.3 %","82.7 %","72.4 %","42.8 %","62.2 %","13.9 %","21.3 %","8.2 %","328","13367"
"Jose Iglesias","Reds","43.7 %","65.8 %","52.8 %","81.4 %","88.2 %","84.9 %","41.0 %","68.8 %","8.0 %","14.7 %","4.5 %","292","10231"
"Rowdy Tellez","Blue Jays","40.9 %","66.4 %","50.6 %","60.7 %","80.6 %","70.6 %","37.9 %","61.9 %","14.9 %","28.8 %","6.0 %","281","15679"
"Christin Stewart","Tigers","34.4 %","71.6 %","49.1 %","63.7 %","84.1 %","75.5 %","39.7 %","60.5 %","12.0 %","22.8 %","9.7 %","268","17714"
"Orlando Arcia","Brewers","32.5 %","63.6 %","46.0 %","64.8 %","84.6 %","76.7 %","43.4 %","59.1 %","10.7 %","19.7 %","8.1 %","320","13185"
"Willy Adames","Rays","26.9 %","70.0 %","47.2 %","52.4 %","81.8 %","73.0 %","47.1 %","64.6 %","12.8 %","27.9 %","7.5 %","333","15986"
"Enrique Hernandez","Dodgers","31.8 %","69.5 %","47.1 %","57.7 %","87.9 %","75.8 %","40.5 %","61.6 %","11.4 %","22.5 %","7.3 %","315","10472"
"Jonathan Lucroy","Angels","25.5 %","53.9 %","38.6 %","79.1 %","93.1 %","88.1 %","46.2 %","64.4 %","4.6 %","14.4 %","8.0 %","264","7870"
"Jason Kipnis","Indians","27.9 %","67.7 %","45.3 %","65.9 %","87.8 %","80.2 %","43.9 %","54.5 %","9.0 %","16.2 %","8.3 %","290","9776"
"Mallex Smith","Mariners","29.6 %","67.8 %","47.2 %","62.1 %","79.3 %","73.5 %","46.0 %","61.6 %","12.5 %","23.8 %","7.2 %","320","13608"
"Lorenzo Cain","Brewers","28.5 %","65.8 %","45.2 %","66.1 %","90.7 %","82.1 %","44.6 %","61.2 %","8.1 %","17.3 %","7.4 %","376","9077"
"Albert Almora Jr.","Cubs","40.1 %","68.4 %","51.7 %","65.0 %","90.6 %","78.9 %","40.9 %","65.8 %","10.9 %","14.3 %","4.5 %","266","14109"
"Kevin Pillar","- - -","47.2 %","74.0 %","57.7 %","71.4 %","92.6 %","82.1 %","39.4 %","64.7 %","10.3 %","14.5 %","2.9 %","346","12434"
"Jose Ramirez","Indians","27.0 %","63.9 %","42.2 %","77.5 %","91.2 %","86.0 %","41.1 %","57.1 %","5.9 %","13.5 %","11.3 %","364","13510"
"Yolmer Sanchez","White Sox","32.4 %","64.7 %","46.2 %","70.2 %","83.4 %","78.1 %","42.8 %","58.7 %","10.1 %","22.5 %","7.4 %","271","11602"
"Martin Maldonado","Royals","32.2 %","65.6 %","47.0 %","63.7 %","90.6 %","80.4 %","44.3 %","67.3 %","9.2 %","20.9 %","6.7 %","254","6887"
"Dee Gordon","Mariners","34.3 %","71.5 %","51.8 %","76.1 %","90.0 %","85.2 %","47.2 %","65.5 %","7.7 %","15.9 %","4.3 %","258","8203"
"Rio Ruiz","Orioles","27.4 %","68.9 %","45.4 %","62.3 %","84.6 %","77.0 %","43.3 %","64.2 %","10.4 %","22.6 %","9.4 %","265","14103"
"Maikel Franco","Phillies","36.4 %","75.5 %","52.7 %","71.2 %","87.4 %","80.9 %","41.6 %","61.6 %","10.1 %","12.1 %","9.1 %","297","12179"
"Yadier Molina","Cardinals","42.7 %","73.6 %","56.2 %","76.6 %","86.8 %","82.4 %","43.8 %","70.3 %","9.9 %","12.3 %","3.3 %","276","7007"
"Robinson Cano","Mets","39.0 %","75.1 %","53.4 %","73.3 %","87.7 %","81.4 %","39.9 %","64.7 %","9.9 %","18.2 %","5.4 %","258","3269"
"Ian Kinsler","Padres","28.2 %","70.2 %","47.1 %","70.9 %","87.3 %","81.8 %","44.9 %","63.1 %","8.6 %","17.6 %","6.3 %","255","6195"
"Rougned Odor","Rangers","35.4 %","67.1 %","48.3 %","59.6 %","83.1 %","72.9 %","40.6 %","57.8 %","13.1 %","32.4 %","7.4 %","296","12282"
"Brandon Drury","Blue Jays","33.4 %","64.6 %","46.5 %","57.6 %","83.5 %","72.7 %","41.8 %","62.6 %","12.7 %","27.9 %","6.1 %","262","11615"
"Jurickson Profar","Athletics","31.7 %","68.5 %","47.1 %","66.8 %","89.2 %","80.5 %","41.9 %","59.6 %","9.2 %","16.0 %","6.3 %","319","10815"
"Joe Panik","Giants","22.9 %","65.6 %","40.9 %","79.6 %","94.3 %","89.5 %","42.1 %","57.0 %","4.3 %","10.4 %","9.5 %","328","11936"
"Brandon Crawford","Giants","32.0 %","79.5 %","52.0 %","54.3 %","82.3 %","72.4 %","42.1 %","62.1 %","14.4 %","23.8 %","8.6 %","303","5343"
"Leonys Martin","Indians","35.4 %","76.9 %","53.2 %","50.7 %","79.8 %","68.8 %","42.8 %","59.9 %","16.6 %","29.5 %","8.0 %","264","11846"
"Steven Duggar","Giants","28.4 %","69.4 %","46.8 %","56.6 %","84.4 %","75.1 %","44.8 %","67.0 %","11.7 %","28.8 %","5.6 %","267","17719"
"Starlin Castro","Marlins","33.8 %","68.5 %","48.4 %","71.7 %","90.3 %","82.8 %","42.2 %","61.7 %","8.3 %","17.3 %","4.0 %","371","4579"
"Yonder Alonso","White Sox","29.6 %","71.7 %","46.4 %","60.4 %","87.8 %","77.3 %","40.0 %","53.8 %","10.5 %","21.1 %","11.6 %","251","2530"
"Billy Hamilton","Royals","28.5 %","65.4 %","45.5 %","65.6 %","86.6 %","79.5 %","46.1 %","63.3 %","9.4 %","22.8 %","8.6 %","267","10199"
