"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"David Peralta","Diamondbacks","31.4 %","70.3 %","47.8 %","66.8 %","86.2 %","78.8 %","42.1 %","61.4 %","10.1 %","21.4 %","7.7 %","378","2136"
"Christian Yelich","Brewers","25.7 %","63.2 %","42.9 %","56.1 %","88.1 %","77.7 %","45.9 %","58.0 %","9.6 %","23.2 %","9.2 %","357","11477"
"Willson Contreras","Cubs","33.6 %","69.9 %","49.2 %","64.8 %","84.6 %","76.9 %","43.0 %","58.9 %","11.4 %","20.8 %","10.0 %","341","11609"
"Rhys Hoskins","Phillies","24.2 %","61.5 %","40.0 %","62.5 %","86.7 %","78.2 %","42.3 %","54.3 %","8.7 %","25.1 %","13.8 %","370","16472"
"Ian Happ","Cubs","24.0 %","69.2 %","42.9 %","47.5 %","72.3 %","64.2 %","41.8 %","57.5 %","15.3 %","35.7 %","16.1 %","280","17919"
"Jorge Soler","Royals","28.8 %","68.0 %","43.8 %","42.2 %","80.4 %","64.8 %","38.2 %","62.7 %","15.4 %","26.8 %","10.9 %","257","14221"
"Whit Merrifield","Royals","34.2 %","67.0 %","48.0 %","71.1 %","89.1 %","81.6 %","41.9 %","58.8 %","8.8 %","16.6 %","9.2 %","403","11281"
"Scott Schebler","Reds","36.9 %","83.0 %","55.9 %","59.2 %","80.4 %","72.2 %","41.3 %","60.9 %","15.6 %","21.7 %","8.0 %","299","12225"
"Carlos Correa","Astros","29.1 %","61.9 %","42.0 %","64.4 %","85.8 %","76.8 %","39.3 %","54.9 %","9.7 %","24.4 %","11.7 %","315","14162"
"Ozzie Albies","Braves","39.3 %","82.1 %","57.1 %","71.6 %","86.8 %","80.7 %","41.7 %","65.5 %","11.0 %","16.4 %","4.4 %","432","16556"
"Andrelton Simmons","Angels","26.1 %","67.0 %","44.2 %","79.3 %","93.9 %","89.1 %","44.2 %","61.1 %","4.8 %","4.5 %","7.8 %","357","10847"
"Asdrubal Cabrera","Mets","31.9 %","72.7 %","48.9 %","71.7 %","87.4 %","81.4 %","41.7 %","60.0 %","9.1 %","19.5 %","7.4 %","380","4962"
"Khris Davis","Athletics","26.0 %","79.1 %","49.3 %","47.3 %","77.6 %","68.7 %","43.9 %","63.5 %","15.4 %","26.8 %","8.3 %","373","9112"
"Gregory Polanco","Pirates","26.7 %","69.1 %","44.0 %","65.4 %","84.6 %","77.7 %","40.7 %","58.3 %","9.8 %","23.0 %","12.9 %","348","12907"
"Yasmani Grandal","Dodgers","22.6 %","58.4 %","38.5 %","58.5 %","81.7 %","74.1 %","44.4 %","55.2 %","10.0 %","21.9 %","12.4 %","306","11368"
"Bryce Harper","Nationals","28.3 %","74.7 %","46.4 %","52.8 %","78.9 %","69.1 %","38.9 %","59.2 %","14.3 %","24.6 %","18.8 %","414","11579"
"Eduardo Escobar","Twins","41.4 %","74.0 %","54.4 %","67.6 %","83.8 %","76.4 %","39.9 %","63.6 %","12.9 %","22.9 %","7.2 %","376","6153"
"Derek Dietrich","Marlins","33.5 %","72.8 %","50.6 %","68.2 %","87.0 %","79.9 %","43.5 %","59.9 %","10.2 %","23.8 %","5.2 %","362","10542"
"Jean Segura","Mariners","35.0 %","66.2 %","48.5 %","77.1 %","95.6 %","88.0 %","43.2 %","58.9 %","5.8 %","13.0 %","4.5 %","399","5933"
"Ben Zobrist","Cubs","24.9 %","59.4 %","40.2 %","72.1 %","91.5 %","84.8 %","44.4 %","58.6 %","6.1 %","12.0 %","13.0 %","292","7435"
"Daniel Robertson","Rays","24.7 %","57.7 %","38.3 %","57.5 %","88.2 %","76.5 %","41.1 %","64.0 %","9.0 %","24.2 %","13.8 %","297","14145"
