"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"David Freese","Pirates","29.6 %","62.5 %","43.9 %","60.7 %","84.3 %","75.3 %","43.4 %","50.7 %","10.8 %","31.7 %","8.8 %","205","9549"
"Eric Hosmer","Royals","37.1 %","71.1 %","49.8 %","59.4 %","87.2 %","74.3 %","37.4 %","56.5 %","12.7 %","19.9 %","9.3 %","301","3516"
"Gregory Polanco","Pirates","30.9 %","71.1 %","46.8 %","65.2 %","91.7 %","81.1 %","39.5 %","57.6 %","8.8 %","19.8 %","6.2 %","243","12907"
"Jacoby Ellsbury","Yankees","31.6 %","71.3 %","50.3 %","61.6 %","93.0 %","82.6 %","47.2 %","62.9 %","8.7 %","14.8 %","8.6 %","291","4727"
"Jose Iglesias","Tigers","38.3 %","56.8 %","46.6 %","85.4 %","97.0 %","91.7 %","44.8 %","59.7 %","3.9 %","9.2 %","3.4 %","206","10231"
"Kevin Pillar","Blue Jays","39.2 %","62.2 %","49.4 %","72.1 %","89.5 %","81.8 %","44.5 %","62.8 %","9.0 %","13.8 %","6.4 %","218","12434"
"Leonys Martin","Mariners","35.3 %","71.1 %","51.3 %","56.7 %","80.5 %","71.5 %","44.9 %","65.5 %","14.7 %","24.1 %","6.6 %","290","11846"
"Jake Lamb","Diamondbacks","30.3 %","64.5 %","44.5 %","56.5 %","80.1 %","70.7 %","41.5 %","54.7 %","12.9 %","27.5 %","10.9 %","265","13329"
"Dee Gordon","Marlins","33.7 %","63.2 %","47.4 %","74.7 %","93.3 %","86.2 %","46.3 %","61.3 %","6.5 %","15.3 %","6.0 %","248","8203"
"Travis Jankowski","Padres","22.1 %","60.3 %","39.4 %","66.9 %","86.4 %","80.4 %","45.3 %","59.9 %","7.7 %","24.4 %","9.2 %","262","13768"
"Stephen Vogt","Athletics","32.4 %","61.5 %","45.7 %","71.4 %","87.6 %","81.3 %","45.6 %","55.4 %","8.5 %","16.7 %","8.0 %","251","5000"
"Eduardo Nunez","- - -","43.2 %","76.3 %","57.0 %","76.8 %","91.3 %","84.9 %","41.7 %","63.7 %","8.5 %","18.1 %","6.6 %","259","6848"
"Jordy Mercer","Pirates","27.2 %","62.7 %","44.5 %","75.4 %","91.8 %","86.7 %","48.7 %","60.9 %","5.9 %","13.6 %","5.8 %","243","6547"
"Joe Panik","Giants","24.4 %","64.7 %","41.6 %","80.5 %","95.1 %","90.2 %","42.9 %","53.6 %","4.0 %","7.2 %","10.8 %","222","11936"
"James Loney","Mets","33.7 %","74.6 %","51.1 %","85.6 %","95.2 %","91.6 %","42.6 %","55.6 %","4.3 %","8.3 %","2.8 %","216","4556"
"Maikel Franco","Phillies","37.8 %","74.8 %","53.2 %","66.8 %","88.9 %","79.7 %","41.6 %","60.1 %","10.8 %","15.2 %","5.3 %","283","12179"
"Michael Saunders","Blue Jays","27.2 %","72.6 %","45.1 %","48.0 %","80.4 %","68.5 %","39.4 %","56.5 %","14.1 %","30.4 %","12.6 %","214","9981"
"Ian Desmond","Rangers","33.7 %","61.6 %","46.5 %","60.6 %","86.6 %","76.4 %","45.8 %","67.9 %","11.0 %","22.5 %","5.5 %","293","6885"
"Jonathan Schoop","Orioles","45.5 %","80.2 %","60.0 %","56.3 %","86.8 %","73.3 %","41.7 %","64.5 %","16.0 %","22.3 %","2.7 %","301","11265"
"Orlando Arcia","Brewers","38.5 %","70.4 %","52.8 %","64.9 %","77.6 %","72.5 %","44.9 %","69.4 %","14.5 %","21.8 %","6.9 %","216","13185"
"Brandon Moss","Cardinals","37.1 %","75.8 %","53.3 %","49.2 %","79.1 %","67.0 %","41.9 %","63.6 %","17.6 %","30.8 %","7.0 %","214","4467"
"Aaron Altherr","Phillies","26.8 %","64.0 %","43.2 %","52.9 %","83.1 %","72.7 %","44.2 %","62.6 %","11.7 %","30.4 %","10.1 %","227","11270"
"Marcell Ozuna","Marlins","32.3 %","68.7 %","47.2 %","61.1 %","85.6 %","75.7 %","40.8 %","64.7 %","11.4 %","16.5 %","6.3 %","255","10324"
"Jake Smolinski","Athletics","33.0 %","66.3 %","47.9 %","69.7 %","91.6 %","83.3 %","44.9 %","60.7 %","8.0 %","15.3 %","6.1 %","229","5408"
"Salvador Perez","Royals","45.0 %","68.4 %","54.9 %","69.7 %","91.0 %","80.9 %","42.2 %","71.4 %","10.4 %","19.7 %","3.8 %","238","7304"
"Jason Heyward","Cubs","27.4 %","59.2 %","41.1 %","75.2 %","93.3 %","86.5 %","43.2 %","54.8 %","5.6 %","12.9 %","7.1 %","241","4940"
"Adeiny Hechavarria","Marlins","34.7 %","66.7 %","49.3 %","73.1 %","89.3 %","83.1 %","45.7 %","58.6 %","8.2 %","15.0 %","7.7 %","234","10459"
"Danny Espinosa","Nationals","32.6 %","70.6 %","48.3 %","46.5 %","78.6 %","66.0 %","41.4 %","54.7 %","16.3 %","33.8 %","9.3 %","269","9219"
