"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Travis Shaw","Brewers","31.3 %","66.3 %","45.8 %","68.6 %","86.8 %","79.5 %","41.4 %","58.6 %","9.4 %","22.3 %","14.0 %","215","11982"
"Melky Cabrera","Indians","33.4 %","64.3 %","45.7 %","74.2 %","92.2 %","84.3 %","39.9 %","60.9 %","7.2 %","13.2 %","8.0 %","212","4022"
"Lorenzo Cain","Brewers","28.5 %","66.5 %","45.2 %","73.0 %","94.3 %","86.8 %","43.9 %","60.2 %","6.0 %","13.0 %","8.9 %","269","9077"
"Willy Adames","Rays","25.3 %","70.4 %","45.3 %","58.3 %","81.2 %","74.1 %","44.3 %","54.8 %","11.7 %","26.8 %","11.0 %","228","15986"
"Michael Brantley","Indians","28.2 %","64.5 %","44.0 %","82.2 %","97.8 %","92.2 %","43.5 %","56.8 %","3.5 %","11.2 %","8.9 %","259","4106"
"Adalberto Mondesi","Royals","35.0 %","79.0 %","53.5 %","47.0 %","78.6 %","66.6 %","42.0 %","66.8 %","17.9 %","26.3 %","4.1 %","217","13769"
"Yasmani Grandal","Dodgers","22.8 %","57.3 %","38.4 %","59.7 %","81.9 %","74.7 %","45.3 %","52.4 %","9.7 %","26.9 %","16.0 %","212","11368"
"Freddie Freeman","Braves","35.9 %","86.7 %","57.3 %","64.2 %","83.2 %","76.3 %","42.2 %","62.4 %","13.6 %","18.5 %","8.0 %","287","5361"
"Giancarlo Stanton","Yankees","30.9 %","64.9 %","43.8 %","55.9 %","82.5 %","70.9 %","37.9 %","56.1 %","12.7 %","28.0 %","12.1 %","289","4949"
"Jackie Bradley Jr.","Red Sox","29.5 %","71.1 %","48.0 %","57.2 %","79.0 %","71.6 %","44.5 %","62.8 %","13.6 %","27.4 %","8.8 %","215","12984"
"Matt Olson","Athletics","26.2 %","68.9 %","44.6 %","65.9 %","81.7 %","76.4 %","43.1 %","57.4 %","10.5 %","24.0 %","11.4 %","263","14344"
"Joey Votto","Reds","16.0 %","68.9 %","40.1 %","77.5 %","86.4 %","84.5 %","45.6 %","53.2 %","6.2 %","18.9 %","17.4 %","201","4314"
"Nicholas Castellanos","Tigers","38.7 %","80.8 %","55.3 %","55.3 %","84.7 %","72.2 %","39.4 %","63.6 %","15.4 %","22.7 %","8.2 %","269","11737"
"Cody Bellinger","Dodgers","31.0 %","69.6 %","47.5 %","61.5 %","81.6 %","74.1 %","42.8 %","60.3 %","12.3 %","23.8 %","11.1 %","244","15998"
"Jose Martinez","Cardinals","30.6 %","65.4 %","45.4 %","66.3 %","86.6 %","78.7 %","42.4 %","59.6 %","9.7 %","20.9 %","6.8 %","235","7996"
"Manny Machado","Dodgers","34.7 %","74.0 %","49.8 %","64.0 %","86.6 %","76.9 %","38.4 %","57.8 %","11.5 %","17.9 %","8.4 %","296","11493"
"Hunter Renfroe","Padres","34.2 %","69.0 %","48.5 %","58.8 %","79.9 %","71.2 %","41.1 %","64.0 %","14.0 %","23.1 %","5.3 %","247","15464"
"Daniel Palka","White Sox","33.1 %","72.3 %","49.0 %","46.6 %","77.4 %","65.1 %","40.7 %","63.1 %","17.1 %","34.1 %","7.4 %","217","14897"
"Whit Merrifield","Royals","31.1 %","68.5 %","47.3 %","75.9 %","87.6 %","83.3 %","43.2 %","59.2 %","7.9 %","15.5 %","7.9 %","304","11281"
"Kendrys Morales","Blue Jays","30.8 %","64.9 %","43.0 %","60.8 %","87.6 %","75.3 %","35.7 %","56.1 %","10.7 %","17.1 %","11.2 %","205","8610"
"Carlos Santana","Phillies","26.4 %","67.6 %","43.7 %","75.6 %","85.0 %","81.7 %","42.1 %","61.8 %","8.0 %","13.6 %","13.2 %","272","2396"
"Rougned Odor","Rangers","35.5 %","68.3 %","49.6 %","68.8 %","87.8 %","80.0 %","42.8 %","60.8 %","9.9 %","22.0 %","8.4 %","273","12282"
"Eduardo Escobar","- - -","36.0 %","71.1 %","50.7 %","71.4 %","88.2 %","81.3 %","41.8 %","58.8 %","9.5 %","15.7 %","9.8 %","255","6153"
"Ender Inciarte","Braves","30.6 %","69.8 %","48.6 %","74.4 %","91.4 %","85.6 %","45.8 %","61.6 %","7.0 %","12.2 %","6.3 %","255","4922"
"Jorge Polanco","Twins","25.6 %","63.1 %","41.7 %","72.5 %","94.0 %","86.4 %","42.8 %","57.1 %","5.7 %","17.2 %","6.6 %","273","13152"
"Jose Ramirez","Indians","20.5 %","58.4 %","35.3 %","84.5 %","91.1 %","88.8 %","39.1 %","50.9 %","4.0 %","11.5 %","17.6 %","279","13510"
"Trea Turner","Nationals","25.1 %","62.7 %","41.7 %","67.1 %","90.9 %","82.9 %","44.1 %","61.5 %","7.1 %","16.5 %","8.7 %","309","16252"
"Renato Nunez","Orioles","35.2 %","69.9 %","50.3 %","57.1 %","81.8 %","72.1 %","43.7 %","57.3 %","14.1 %","22.7 %","7.3 %","220","14503"
"Adrian Beltre","Rangers","36.3 %","62.9 %","47.5 %","68.3 %","86.0 %","78.2 %","41.9 %","53.6 %","10.4 %","18.6 %","5.9 %","220","639"
"Salvador Perez","Royals","44.1 %","71.7 %","54.6 %","65.8 %","89.7 %","77.7 %","38.0 %","65.5 %","12.2 %","19.1 %","3.4 %","235","7304"
"Francisco Lindor","Indians","33.7 %","68.0 %","47.0 %","78.7 %","95.0 %","87.8 %","38.7 %","58.4 %","5.7 %","10.9 %","8.9 %","303","12916"
"Nelson Cruz","Mariners","32.8 %","67.7 %","46.6 %","54.0 %","84.2 %","71.3 %","39.5 %","57.4 %","13.4 %","22.1 %","8.5 %","258","2434"
"Scooter Gennett","Reds","40.9 %","72.1 %","54.2 %","75.0 %","87.8 %","82.2 %","42.7 %","63.9 %","9.6 %","20.5 %","6.4 %","249","10339"
"Trey Mancini","Orioles","34.7 %","72.5 %","51.3 %","62.9 %","84.5 %","76.3 %","43.8 %","65.2 %","12.2 %","23.0 %","4.4 %","270","15149"
"Carlos Gonzalez","Rockies","33.0 %","72.8 %","48.1 %","63.3 %","78.6 %","72.1 %","37.9 %","59.4 %","13.4 %","22.3 %","7.6 %","224","7287"
"Eugenio Suarez","Reds","26.0 %","67.5 %","43.0 %","52.7 %","87.0 %","74.8 %","41.0 %","59.7 %","10.8 %","28.7 %","9.3 %","258","12552"
"Mike Moustakas","- - -","36.2 %","69.3 %","50.1 %","66.3 %","89.2 %","79.6 %","41.8 %","63.0 %","10.2 %","17.5 %","9.3 %","246","4892"
"Freddy Galvis","Padres","37.6 %","68.0 %","50.1 %","68.4 %","81.2 %","75.5 %","40.9 %","62.1 %","12.3 %","22.7 %","5.7 %","264","6609"
"Phillip Ervin","Reds","27.7 %","70.4 %","47.5 %","67.5 %","80.5 %","76.4 %","46.2 %","61.9 %","11.2 %","23.8 %","7.4 %","202","14738"
"Chris Taylor","Dodgers","29.3 %","74.4 %","50.0 %","54.7 %","73.3 %","67.4 %","46.0 %","60.9 %","16.3 %","32.5 %","9.9 %","212","13757"
"Justin Smoak","Blue Jays","28.2 %","64.1 %","41.6 %","60.5 %","86.2 %","75.3 %","37.2 %","56.6 %","10.3 %","28.8 %","11.9 %","226","9054"
"Marcus Semien","Athletics","25.4 %","66.1 %","42.7 %","65.5 %","89.9 %","81.6 %","42.5 %","57.5 %","7.9 %","18.2 %","10.5 %","275","12533"
"Jason Kipnis","Indians","26.7 %","63.6 %","42.7 %","61.8 %","89.1 %","79.4 %","43.3 %","55.4 %","8.8 %","16.9 %","8.7 %","231","9776"
"Harrison Bader","Cardinals","29.8 %","65.3 %","44.9 %","58.1 %","84.7 %","74.6 %","42.7 %","59.2 %","11.4 %","30.0 %","7.2 %","223","18030"
"Kole Calhoun","Angels","26.8 %","78.0 %","48.9 %","51.8 %","79.8 %","71.1 %","43.1 %","56.4 %","14.1 %","25.6 %","12.8 %","273","11200"
"Tim Beckham","Orioles","30.2 %","69.1 %","47.0 %","62.8 %","84.3 %","76.5 %","43.4 %","60.0 %","11.1 %","22.7 %","7.1 %","225","7949"
"Jesus Aguilar","Brewers","34.4 %","59.6 %","44.8 %","63.3 %","78.9 %","71.9 %","41.2 %","54.0 %","12.6 %","24.0 %","10.0 %","250","11342"
"Adam Jones","Orioles","42.7 %","71.7 %","53.6 %","65.8 %","87.9 %","76.9 %","37.6 %","64.8 %","12.4 %","14.6 %","5.9 %","219","6368"
"Starling Marte","Pirates","38.4 %","80.6 %","56.8 %","60.2 %","86.9 %","76.8 %","43.7 %","64.3 %","13.2 %","13.7 %","4.7 %","255","9241"
"Jed Lowrie","Athletics","23.9 %","72.7 %","44.4 %","66.9 %","86.3 %","80.3 %","42.2 %","56.6 %","8.8 %","17.5 %","13.9 %","274","4418"
"Jonathan Villar","Orioles","33.4 %","71.9 %","49.9 %","66.0 %","77.2 %","72.9 %","42.7 %","68.2 %","13.5 %","24.6 %","9.3 %","236","10071"
"Jose Peraza","Reds","37.5 %","67.2 %","50.7 %","79.5 %","95.4 %","88.9 %","44.3 %","60.0 %","5.6 %","11.1 %","2.5 %","280","13593"
"Max Kepler","Twins","24.6 %","63.0 %","41.3 %","65.1 %","92.9 %","83.6 %","43.5 %","58.4 %","6.8 %","15.9 %","11.4 %","245","12144"
"Andrew Benintendi","Red Sox","28.0 %","72.9 %","46.1 %","81.2 %","87.6 %","85.3 %","40.3 %","53.1 %","6.8 %","13.7 %","8.6 %","256","17901"
"Gleyber Torres","Yankees","34.3 %","68.4 %","47.6 %","56.7 %","82.2 %","71.0 %","39.2 %","58.0 %","13.8 %","25.1 %","10.3 %","243","16997"
"Jake Cave","Twins","34.6 %","64.4 %","47.8 %","54.8 %","81.8 %","70.9 %","44.3 %","64.5 %","13.9 %","34.6 %","6.1 %","228","14477"
"DJ LeMahieu","Rockies","29.2 %","60.6 %","43.5 %","73.7 %","95.1 %","87.3 %","45.6 %","61.5 %","5.5 %","14.3 %","5.6 %","252","9874"
"Alex Gordon","Royals","31.4 %","69.5 %","47.2 %","58.4 %","87.9 %","76.4 %","41.5 %","62.1 %","11.1 %","22.0 %","9.8 %","264","5209"
"Kevin Kiermaier","Rays","37.2 %","75.3 %","52.8 %","59.9 %","82.1 %","72.9 %","41.0 %","60.7 %","14.3 %","20.4 %","5.7 %","211","11038"
"Hunter Dozier","Royals","37.4 %","68.8 %","50.8 %","48.8 %","92.6 %","74.2 %","42.9 %","62.9 %","13.1 %","24.8 %","5.0 %","202","15117"
"Joe Mauer","Twins","25.0 %","53.6 %","38.6 %","70.0 %","96.0 %","87.2 %","47.6 %","65.3 %","5.0 %","19.5 %","6.5 %","262","1857"
"Eric Hosmer","Padres","32.7 %","71.9 %","48.6 %","58.3 %","86.0 %","74.9 %","40.6 %","57.0 %","12.2 %","18.5 %","9.3 %","270","3516"
"Brian Anderson","Marlins","30.8 %","69.6 %","47.1 %","64.4 %","81.6 %","75.1 %","41.9 %","59.4 %","11.7 %","23.2 %","10.2 %","246","18289"
"J.T. Realmuto","Marlins","31.4 %","65.0 %","46.2 %","63.3 %","88.8 %","79.1 %","44.1 %","61.0 %","9.7 %","21.1 %","9.2 %","228","11739"
